리뷰ID	평점	작성일	리뷰내용
REV-011	1	2024-10-11	사기 당한 기분입니다. 광고에서는 40dB 노이즈캔슬링이라고 했는데 실제로는 전혀 그 정도가 아닙니다. 지하철에서 소음 차단이 거의 안 돼요. 과대광고 아닌가요?
REV-012	4	2024-10-12	아내한테 선물로 사줬는데 너무 좋아하네요. 색상이 예쁘고 귀에 잘 맞는다고 합니다. 충전 케이스 무선충전 되는 게 편하다고 하네요.
REV-013	3	2024-10-13	나쁘진 않은데 설명서가 중국어랑 영어밖에 없어서 처음 설정하기 힘들었어요. 한국어 매뉴얼이 없는 건 좀 아쉽네요. 앱도 번역이 어색합니다.
REV-014	5	2024-10-14	비행기에서 써봤는데 노이즈캔슬링이 정말 좋습니다. 엔진 소리가 거의 안 들려요. 장거리 비행에 필수품이 될 것 같아요. 접이식 파우치도 고급스럽습니다.
REV-015	2	2024-10-15	오른쪽 이어폰 터치가 자주 오작동합니다. 머리카락이 닿기만 해도 반응해서 짜증나요. 감도 조절할 수 있으면 좋겠는데 앱에서 설정이 안 됩니다.
REV-016	4	2024-10-16	마이크 품질이 생각보다 좋아요. 화상회의에서 사용했는데 동료들이 음성이 또렷하다고 합니다. 재택근무하는 분들께 추천드려요.
REV-017	1	2024-10-17	일주일 만에 고장났습니다. 충전이 안 돼요. 케이블 바꿔봐도 안 되고, 무선충전도 안 됩니다. 교환 요청했는데 재고 없다고 환불처리 해준다네요.
REV-018	5	2024-10-18	멀티포인트 연결이 진짜 편합니다. 노트북이랑 핸드폰 동시에 연결해 놓으면 자동으로 전환됩니다. 업무용으로 최고예요.
REV-019	3	2024-10-19	배송 중에 패키지가 좀 찌그러져서 왔어요. 제품 자체는 문제없는데 선물용이었는데 포장 상태가... 택배사 문제인지 판매자 문제인지 모르겠어요.
REV-020	4	2024-10-20	2개월 정도 사용 후기입니다. 전반적으로 만족하고 있고 특히 착용감이 좋습니다. 이어팁 사이즈가 다양하게 들어있어서 딱 맞는 걸 찾을 수 있었어요.
REV-021	2	2024-10-21	통화 중에 바람 소리가 너무 많이 들어갑니다. 밖에서 전화하면 상대방이 못 알아듣겠다고 해요. 실내에서는 괜찮은데 야외 통화가 불가능한 수준입니다.
REV-022	5	2024-10-22	이 가격대에서 이 정도 완성도면 정말 가성비 좋습니다. 저음 강화 모드가 마음에 들어요. 운동할 때 동기부여가 됩니다!
REV-023	3	2024-10-23	보통입니다. 장점도 있고 단점도 있어요. 음질은 괜찮은데 터치 조작이 좀 불편합니다. 볼륨 조절이 터치로 안 되는 건 좀 불편해요.
REV-024	4	2024-10-24	방수 성능 테스트해봤는데 비 맞으면서 운동해도 문제없었어요. 땀도 많이 흘렸는데 괜찮습니다. 다만 수영장에서는 사용하지 마세요 ㅋㅋ
REV-025	1	2024-10-25	가짜 제품 아닌가요? 박스에 정품 인증 스티커가 없고, 시리얼 넘버도 조회가 안 됩니다. 제조사 고객센터에 문의했더니 자기네 제품이 맞다고는 하는데 찝찝합니다.
REV-026	5	2024-10-26	아들이 추천해서 샀는데 나이 들어서도 충분히 잘 쓸 수 있을 만큼 조작이 간단해요. 큰 소리로 TV 안 틀어도 되니까 가족들도 좋아합니다.
REV-027	2	2024-10-27	핏이 안 맞아요. 이어팁 다 써봤는데 계속 빠집니다. 귀 크기가 작은 편인데 XS 사이즈도 잘 안 맞네요. 운동할 때 쓸 수가 없습니다.
REV-028	4	2024-10-28	음질이 이 가격대에서는 최상급인 것 같습니다. 특히 중고음이 맑고 깨끗해요. 클래식이나 재즈 들을 때 좋습니다. 저음은 조금 약하긴 합니다.
REV-029	3	2024-10-29	앱 연동이 자주 끊깁니다. 안드로이드 폰인데 호환성 문제인 것 같아요. iOS에서는 괜찮다는 리뷰를 봤는데... 펌웨어 업데이트로 해결되길 바랍니다.
REV-030	5	2024-10-30	헬스장에서 매일 사용 중입니다. 땀 흘려도 미끄러지지 않고 강한 움직임에도 잘 고정됩니다. 음악 들으면서 운동하니 효율이 배로 올랐어요.
REV-031	2	2024-11-01	노이즈캔슬링 때문에 어지러움을 느낍니다. 기압 변화 같은 느낌이 나서 오래 사용 못 하겠어요. 30분 이상 쓰면 두통이 옵니다. 체질 문제인지...
REV-032	4	2024-11-02	고객센터 응대가 친절했어요. 이어팁 추가 요청했더니 무료로 보내주셨습니다. 이런 작은 서비스가 브랜드 이미지에 중요한 거 같아요.
REV-033	1	2024-11-03	3개월 사용 후 한쪽 스피커에서 잡음이 납니다. 치직거리는 소리가 계속 나서 음악 감상이 불가능해요. 보증기간 내인데 수리 센터가 없다고 합니다.
REV-034	5	2024-11-04	음질 끝내줍니다. LDAC 코덱 지원되니까 고음질 음원 제대로 감상할 수 있어요. 오디오파일인 제가 봐도 이 가격에 이 음질이면 대단합니다.
REV-035	3	2024-11-05	충전 케이스가 좀 큽니다. 주머니에 넣기 불편해요. 이어폰 자체는 작고 가벼운데 케이스가 너무 두꺼워요. 디자인 개선이 필요합니다.
REV-036	4	2024-11-06	비 오는 날에도 걱정 없이 쓸 수 있어서 좋아요. IPX5 방수라 웬만한 물엔 괜찮더라고요. 달리기할 때 비 갑자기 와도 안심이에요.
REV-037	2	2024-11-07	설명과 다릅니다. 블루투스 5.3이라고 해서 샀는데 실제로 확인해보니 5.1이네요. 상세페이지 수정해야 하는 거 아닌가요? 신뢰가 떨어집니다.
REV-038	5	2024-11-08	지인 추천으로 구매했는데 역시 입소문 제품은 다르네요. 모든 면에서 만족스럽습니다. 특히 배터리 수명이 광고대로 30시간 정도 되는 것 같아요.
REV-039	3	2024-11-09	괜찮은 제품이긴 한데 터치 조작에 적응하는 데 시간이 좀 걸립니다. 실수로 음악이 멈추거나 전화가 끊어지는 경우가 있었어요.
REV-040	4	2024-11-10	출퇴근용으로 딱 좋습니다. 지하철 소음을 잘 잡아줘요. ANC 레벨 조절이 3단계로 되어서 상황에 맞게 사용할 수 있어 편리합니다.
REV-041	1	2024-11-11	제품 사진이랑 너무 다릅니다. 사진에서는 무광 블랙인데 실물은 싸구려 유광 플라스틱이에요. 색감도 다르고 마감도 조잡합니다. 속았어요.
REV-042	5	2024-11-12	6개월째 사용 중인데 여전히 새것처럼 잘 작동합니다. 내구성이 좋은 것 같아요. 매일 3-4시간씩 사용하는데 배터리 저하도 거의 느껴지지 않습니다.
REV-043	3	2024-11-13	음질은 평균 이상이고 노캔도 괜찮은데, 통화 품질이 좀 아쉽습니다. 바람 많은 날 밖에서 통화하면 상대방이 잘 못 들어요.
REV-044	4	2024-11-14	가격 대비 우수한 성능입니다. 특히 딜레이가 거의 없어서 영상 볼 때 좋아요. 게임할 때도 지연 없이 잘 됩니다.
REV-045	2	2024-11-15	귀가 작은 여성분들은 주의하세요. 이어폰 본체가 꽤 커서 귀에서 많이 나와요. 미관상 안 좋고 장시간 착용하면 귀가 아픕니다.
REV-046	5	2024-11-16	업무용으로 최고입니다. 화상회의, 전화, 음악 감상 모두 만족스러워요. 하루 종일 착용해도 불편함이 없습니다.
REV-047	3	2024-11-17	배송은 빠르고 제품은 무난합니다. 크게 감동은 없지만 불만도 없는 정도? 이 가격이면 적당하다고 생각합니다.
REV-048	2	2024-11-18	펌웨어 업데이트 후 오히려 성능이 나빠졌습니다. 연결이 불안정해지고 노이즈캔슬링도 약해진 느낌이에요. 이전 버전으로 돌릴 수 없나요?
REV-049	4	2024-11-19	선물받았는데 너무 좋아요! 예전에 쓰던 유선 이어폰보다 훨씬 편하고 음질도 좋습니다. 무선의 자유로움을 이제야 알았네요.
REV-050	1	2024-11-20	두 달 만에 왼쪽 이어폰 완전 고장. 소리가 안 나옵니다. 리셋도 해보고 충전도 해봤는데 안 됩니다. 이 가격에 2개월 수명이라니 실망스럽습니다.
